"Numero","Id","Nombre","Estado","Inicio","Fin","Cierre"
"1","359","Invox Medical Suite - Sprint 1","closed","2024-12-03","2024-12-10","2024-12-10 19:28"
"2","361","Invox Medical Suite - Sprint 2","closed","2024-12-10","2024-12-17","2024-12-16 16:31"
"3","364","Invox Medical Suite - Sprint 3","closed","2024-12-17","2024-12-24","2024-12-25 12:18"
"4","365","Invox Medical Suite - Sprint 4","closed","2024-12-24","2024-12-31","2025-01-07 09:48"
"5","368","Invox Medical Suite - Sprint 5","closed","2025-01-07","2025-01-14","2025-01-15 10:08"
"6","369","Invox Medical Suite - Sprint 6","closed","2025-01-15","2025-01-22","2025-01-22 17:00"
"7","370","Invox Medical Suite - Sprint 7","closed","2025-01-22","2025-01-29","2025-02-03 15:38"
"8","371","Invox Medical Suite - Sprint 8","closed","2025-01-28","2025-02-04","2025-02-12 09:58"
"9","404","Invox Medical Suite - Sprint 9","closed","2025-02-11","2025-02-16","2025-02-26 08:16"
"10","437","Invox Medical Suite-Sprint 10","closed","2025-02-25","2025-03-02","2025-03-05 17:21"
"11","470","Invox Medical Suite-Sprint 11","closed","2025-03-04","2025-03-10","2025-03-12 08:36"
"12","503","Invox Medical Suite-Sprint 12","closed","2025-03-11","2025-03-17","2025-04-15 09:27"
"13","536","Invox Medical Suite-Sprint 13","closed","2025-04-15","2025-04-21","2025-04-28 11:56"
"14","537","Invox Medical Suite-Sprint 14","closed","2025-04-22","2025-04-28","2025-05-06 10:23"
"15","569","Invox Medical Suite-Sprint 15","closed","2025-05-06","2025-05-12","2025-05-14 10:25"
"16","602","Invox Medical Suite-Sprint 16","closed","2025-05-13","2025-05-20","2025-05-21 15:43"
"17","635","Invox Medical Suite-Sprint 17","closed","2025-05-20","2025-05-27","2025-05-29 13:00"
"18","668","Invox Medical Suite-Sprint 18","closed","2025-05-27","2025-06-03","2025-06-04 10:03"
"19","701","Invox Medical Suite-Sprint 19","closed","2025-06-03","2025-06-10","2025-06-12 09:28"
"20","734","Invox Medical Suite-Sprint 20","closed","2025-06-10","2025-06-23","2025-06-24 11:58"
"21","767","Invox Medical Suite-Sprint 21","closed","2025-06-23","2025-07-07","2025-07-07 08:12"
"22","800","Invox Medical Suite-Sprint 22","closed","2025-07-07","2025-07-21","2025-07-23 08:55"
"23","833","Invox Medical Suite-Sprint 23","closed","2025-07-21","2025-08-04","2025-08-20 15:11"
"24","866","Invox Medical Suite-Sprint 24","closed","2025-08-18","2025-08-29","2025-09-15 23:03"
"26","899","Invox Medical Suite-Sprint 26","closed","2025-09-15","2025-09-26","2025-09-29 13:52"
"27","900","Invox Medical Suite-Sprint 27","closed","2025-09-29","2025-10-09","2025-10-16 09:35"
"28","932","Invox Medical Suite-Sprint 28","closed","2025-10-13","2025-10-27","2025-10-28 11:35"
"29","965","Invox Medical Suite-Sprint 29","closed","2025-10-27","2025-11-10","2025-11-14 10:28"
"30","998","Invox Medical Suite-Sprint 30","closed","2025-11-10","2025-11-24","2025-11-27 08:31"
"31","1031","Invox Medical Suite-Sprint 31","closed","2025-11-24","2025-12-08","2025-12-12 13:07"
"32","1064","Invox Medical Suite-Sprint 32","closed","2025-12-08","2025-12-22","2026-01-21 13:36"
"33","1097","Invox Medical Suite-Sprint 33","closed","2026-01-22","2026-02-05","2026-02-03 09:56"
"34","1130","Invox Medical Suite-Sprint 34","closed","2026-02-03","2026-02-17","2026-02-17 08:47"
"35","1163","Invox Medical Suite-Sprint 35","closed","2026-02-16","2026-03-02","2026-03-02 15:04"
"36","1196","Invox Medical Suite-Sprint 36","closed","2026-03-02","2026-03-16","2026-03-16 19:34"
"37","1229","Invox Medical Suite-Sprint 37","closed","2026-03-16","2026-03-30","2026-03-30 14:36"
"38","1262","Invox Medical Suite-Sprint 38","closed","2026-03-29","2026-04-12","2026-04-14 09:48"
"39","1295","Invox Medical Suite-Sprint 39","closed","2026-04-13","2026-04-27","2026-04-28 09:58"
"40","1328","Invox Medical Suite-Sprint 40","closed","2026-04-27","2026-05-11","2026-05-11 13:52"
"41","1361","Invox Medical Suite-Sprint 41","active","2026-05-11","2026-05-25",""
"42","1394","Invox Medical Suite-Sprint 42","future","","",""
